Name,ID,Gene,Value
592,A,IL17A,18.7336084
592,A,IL18,17.24643801
592,A,IL6,22.38846028
592,A,KAT6A,15.96037393
592,A,KRAS,15.5944743
592,A,LATS2,22.48968477
592,A,LEF1,21.21815793
592,A,MDM2,18.7914947
592,A,MLH1,19.70019437
592,A,MMP1,15.24519752
592,A,MUC1,14.46511107
592,A,MYC,19.79301089
592,A,NFE2L3,16.50067026
592,A,OCLN,18.13382489
592,A,PARP1,19.58254656
592,A,PCNA,18.37854379
592,A,PECAM1,17.83705572
592,A,E,16.68676702
592,A,D,20.3396095
592,A,C,13.48589721
592,A,B,10.5938594
592,A,A,14.18163932
592,A,PI3,17.7465482
592,A,S100P,10.93830427
592,A,RB1,19.9114836
592,A,PTEN,15.72998006
592,A,G,16.19290437
592,A,F,12.13118494
592,A,STAT5A,20.50789198
592,A,STAT3,17.85423736
592,A,STAT1,15.90695936
592,A,SNAI1,16.71398302
592,A,SMYD2,18.96037243
592,A,WNT5A,23.61760745
592,A,VEGFA,18.76057181
592,A,TWIST1,23.5346824
592,A,TOP1,17.88401339
592,A,TGFB1,18.78220822
592,A,FASLG,17.70296652
592,A,FAS,19.06386494
592,A,CD40,14.9631233
592,A,HTRA2,20.79532326
592,A,HIF1A,17.34595031
592,A,HES1,19.03386894
592,A,GSTP1,13.17396822
592,A,GSTM1,17.60226325
592,A,BAX,19.39757996
592,A,NOX1,17.91399438
592,A,SOD2,15.61899619
592,A,SNAI2,15.8551327
592,A,SLPI,13.78852284
592,A,RIPK3,18.60246924
PC 63,A,ABCC1,20.06642917
PC 63,A,ABCC3,18.47741031
PC 63,A,AKT1,17.87356677
PC 63,A,ALDH1A1,20.07790176
PC 63,A,ALDH3A1,19.37307504
PC 63,A,CASP8,19.0321354
PC 63,A,CCND1,18.15454696
PC 63,A,CD274,23.06831644
PC 63,A,CD34,18.32766143
PC 63,A,CD44,17.72913568
PC 63,A,CDH1,18.25093532
PC 63,A,CDH2,20.71967197
PC 63,A,CDH5,18.83721988
PC 63,A,CDKN1A,18.40416748
PC 63,A,CDKN3,17.67201174
PC 63,A,CEACAM6,14.46416407
PC 63,A,DNMT1,18.78804249
PC 63,A,EGFR,19.93581415
PC 63,A,ERCC1,18.48686715
PC 63,A,FAP,20.28369788
PC 63,A,FGF13,23.15317209
PC 63,A,FGF2,19.95909286
PC 63,A,FGFR2,18.62475161
PC 63,A,HMOX2,17.35377556
PC 63,A,IGF1R,20.42904487
PC 63,A,IL18,16.90408679
PC 63,A,KAT6A,18.41582601
PC 63,A,KRAS,18.15558863
PC 63,A,LATS2,21.56130602
PC 63,A,LEF1,19.19152985
PC 63,A,MCM2,20.49295442
PC 63,A,MDM2,18.45641219
PC 63,A,MLH1,19.30419914
PC 63,A,MMP1,17.75097793
PC 63,A,MUC1,13.38971605
